web-scraper-order,web-scraper-start-url,team_list,team_list-href,player_list,player_list-href,Name,Birth,Amplua,Height,Photo-src,Sport-achievements-src,Weight,team-name
"1585688769-958","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12423/Itemid,4259/","Максим Ванджура","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3969/Itemid,4259/","Максим Ванджура","23. 05. 1999 (20)","Нападаючий","188 cm","https://ukv.org.ua//images/stories/Classic/2018-2019/Vandzhura.jpg","","null","Команда  НУБіП"
"1585688763-955","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12423/Itemid,4259/","Дмитро Рожнятовський","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3496/Itemid,4259/","Дмитро Рожнятовський","06. 06. 1996 (23)","Зв`язуючий","180 cm","https://ukv.org.ua//images/stories/Classic/2017-2018/Teams/photo/KNU_M/Rozhnyatovskyi.jpg","","null","Команда  НУБіП"
"1585688638-899","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12441/Itemid,4259/","Олександр Нікандров","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,233/Itemid,4259/","Олександр Нікандров","03. 12. 1982 (36)","Блокуючий","194 cm","https://ukv.org.ua//images/stories/Classic/2012-2013/Man/NikandrovA.jpg","","89 kg","Команда  ТТ (3-й тайм)"
"1585688747-948","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12432/Itemid,4259/","Андрій Хатімлянський","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,769/Itemid,4259/","Андрій Хатімлянський","03. 08. 1985 (34)","Блокуючий","187 cm","https://ukv.org.ua/images/stories/Classic/2013-2014/Teams/khatimlanskiy2.jpg","","90 kg","Команда  ПІМ"
"1585688613-888","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12442/Itemid,4259/","Андрій Беляєв","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,614/Itemid,4259/","Андрій Беляєв","18. 04. 1973 (46)","Блокуючий","202 cm","https://ukv.org.ua/images/stories/2010-2011/man/2divizion/MD/andrew_belyaev.JPG","https://ukv.org.ua/images/joomleague/flags/de.png","105 kg","Команда  Укрспецтехніка"
"1585688736-943","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12432/Itemid,4259/","Владислав Поліщук","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2135/Itemid,4259/","Владислав Поліщук","20. 02. 1997 (22)","Зв`язуючий","176 cm","https://ukv.org.ua//images/stories/Classic/2014-2015/Teams/DreamTeam/12.jpg","","64 kg","Команда  ПІМ"
"1585688753-951","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12432/Itemid,4259/","Сергій Пахолко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3748/Itemid,4259/","Сергій Пахолко","01. 10. 1990 (29)","Нападаючий","186 cm","https://ukv.org.ua//images/stories/Classic/2018-2019/Paholko.jpg","","null","Команда  ПІМ"
"1585688765-956","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12423/Itemid,4259/","Ілля Валяйбаба","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,4232/Itemid,4259/","Ілля Валяйбаба","26. 11. 2001 (17)","Блокуючий","190 cm","https://ukv.org.ua/images/stories/Classic/2019-2020/Valajbaba.jpg","","null","Команда  НУБіП"
"1585688691-923","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12439/Itemid,4259/","Микита Жабський","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,199/Itemid,4259/","Микита Жабський","09. 06. 1992 (27)","Нападаючий","185 cm","https://ukv.org.ua/images/stories/2011-2012/man/1divizion/Raduzhny/Zhabskiy.jpg","","70 kg","Команда  Райдужний"
"1585688668-913","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12440/Itemid,4259/","Олександр Григорович","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3049/Itemid,4259/","Олександр Григорович","24. 10. 1988 (30)","Діагональний","186 cm","https://ukv.org.ua//images/stories/Classic/2016-2017/teams/TNT/players/Grigorov_alex.jpg","","80 kg","Команда  ТНТ"
"1585688726-939","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Максим Тішков","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,1134/Itemid,4259/","Максим Тішков","06. 04. 1995 (24)","Нападаючий","190 cm","https://ukv.org.ua//images/stories/Classic/2012-2013/Man/Tishkov.jpg","","85 kg","Команда  Прорив"
"1585688755-952","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12432/Itemid,4259/","Юрій Носик","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,460/Itemid,4259/","Юрій Носик","06. 03. 1983 (36)","Нападаючий","181 cm","https://ukv.org.ua/images/stories/2010-2011/man/3divizion/Svyazist/Nosik.jpg","","90 kg","Команда  ПІМ"
"1585688718-935","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Олександр Талан","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,1450/Itemid,4259/","Олександр Талан","04. 04. 1987 (32)","Блокуючий","178 cm","https://ukv.org.ua/images/stories/Classic/2012-2013/Man/Transfer/Talan.jpg","","78 kg","Команда  Прорив"
"1585688759-953","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12423/Itemid,4259/","Віталій Марцун","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,4233/Itemid,4259/","Віталій Марцун","18. 06. 2001 (18)","Ліберо","183 cm","https://ukv.org.ua/images/stories/Classic/2019-2020/Marzun.jpg","","null","Команда  НУБіП"
"1585688699-927","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12439/Itemid,4259/","Ярослав Горобець","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2969/Itemid,4259/","Ярослав Горобець","12. 10. 1989 (29)","Діагональний","184 cm","https://ukv.org.ua//images/stories/Classic/2016-2017/teams/K_Sokil/Gorobets_yarosl.jpg","","78 kg","Команда  Райдужний"
"1585688654-906","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12440/Itemid,4259/","Антон П`ятак","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,852/Itemid,4259/","Антон П`ятак","12. 03. 1992 (27)","Зв`язуючий","176 cm","https://ukv.org.ua/images/stories/2011-2012/man/3divizion/Morita/Pyatak.jpg","","72 kg","Команда  ТНТ"
"1585688738-944","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12432/Itemid,4259/","Віктор Панов","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,347/Itemid,4259/","Віктор Панов","08. 10. 1988 (30)","Зв`язуючий","184 cm","https://ukv.org.ua/images/stories/2011-2012/man/3divizion/Apollon/Panov.jpg","","null","Команда  ПІМ"
